"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
27.771,0.1883844733
27.781,0.180551976
27.791,0.1937300563
27.801,0.2014243007
27.811,0.1899891049
27.821,0.1796285063
27.831,0.1859757453
27.841,0.1946014166
27.851,0.1892563105
27.861,0.1794163287
27.871,0.1808891445
27.881,0.1883758605
27.891,0.1871654093
27.901,0.1791879088
27.911,0.1776615083
27.921,0.1832408011
27.931,0.184417814
27.941,0.1786198616
27.951,0.175580442
27.961,0.1792137325
27.971,0.1814974397
27.981,0.1776292175
27.991,0.1740539819
28.001,0.1761036962
28.011,0.1787974983
28.021,0.1765225977
28.031,0.1729612947
28.041,0.1737899929
28.051,0.1764080375
28.061,0.1752510071
28.071,0.1720500439
28.081,0.1715220064
28.091,0.1726960689
28.101,0.1719188392
28.111,0.1695803106
28.121,0.1692445725
28.131,0.1708407849
28.141,0.1707639694
28.151,0.1687610298
28.161,0.1684300303
28.171,0.170231089
28.181,0.1704788953
28.191,0.1684920639
28.201,0.1680941731
28.211,0.1701559424
28.221,0.1706385911
28.231,0.1685252935
28.241,0.168151468
28.251,0.1706619561
28.261,0.1713073254
28.271,0.1688462347
28.281,0.1685891002
28.291,0.171821624
28.301,0.1725445837
28.311,0.1695118546
28.321,0.1696192175
28.331,0.1739747077
28.341,0.1745283306
28.351,0.1704734862
28.361,0.1712463051
28.371,0.1771602929
28.381,0.1770839095
28.391,0.1715122908
28.401,0.1736508757
28.411,0.1817436069
28.421,0.180071637
28.431,0.1722972989
28.441,0.1771160066
28.451,0.1880564839
28.461,0.1829570085
28.471,0.1723506302
28.481,0.182292968
28.491,0.1965004951
28.501,0.1846702099
28.511,0.1711405069
28.521,0.1905018985
28.531,0.207363233
28.541,0.1831715107
28.551,0.1684197634
28.561,0.2042359263
28.571,0.2206556052
28.581,0.1751942337
28.591,0.1647846699
28.601,0.2281579822
28.611,0.2365748137
28.621,0.1637526751
28.631,0.1587211192
28.641,0.2353698909
28.651,0.2450275123
28.661,0.1710116416
28.671,0.1623533517
28.681,0.2407486588
28.691,0.2610376775
28.701,0.1919950396
28.711,0.1778927147
28.721,0.2511357963
28.731,0.273460716
28.741,0.2065889984
28.751,0.1877163351
28.761,0.2568086684
28.771,0.2820732892
28.781,0.2185498178
28.791,0.1961498559
28.801,0.2613984644
28.811,0.2898013592
28.821,0.2310973108
28.831,0.2054415196
28.841,0.2654269934
28.851,0.2966759503
28.861,0.2448633313
28.871,0.2175811231
28.881,0.2687927485
28.891,0.3004336059
28.901,0.257004261
28.911,0.2305972129
28.921,0.2725042999
28.931,0.3009418249
28.941,0.267246455
28.951,0.2434249222
28.961,0.2746169567
28.971,0.2996117175
28.981,0.2759446502
28.991,0.2553831935
29.001,0.2771688402
29.011,0.2985829413
29.021,0.2835043371
29.031,0.2670609355
29.041,0.2819913328
29.051,0.299734354
29.061,0.2907716036
29.071,0.2780870199
29.081,0.2879492044
29.091,0.3020730615
29.101,0.2972593904
29.111,0.287910223
29.121,0.2942709029
29.131,0.3051289618
29.141,0.302939564
29.151,0.2963830531
29.161,0.3005342782
29.171,0.3087540567
29.181,0.3081945777
29.191,0.3039245903
29.201,0.3068383932
29.211,0.3130960166
29.221,0.3134519458
29.231,0.3108690977
29.241,0.3130833507
29.251,0.3176522553
